Method,Recall@1,NDCG@1,IntentMatch@1,CountryMatch@1,VarietyMatch@1,Recall@5,NDCG@5,IntentMatch@5,CountryMatch@5,VarietyMatch@5,Recall@10,NDCG@10,IntentMatch@10,CountryMatch@10,VarietyMatch@10,MRR,Latency_ms
BM25,0.4,0.4,1.0,1.0,1.0,0.9,0.6954395572359224,1.0,1.0,1.0,1.0,0.7310602759467246,1.0,1.0,1.0,0.6416666666666666,0.0499963760375976
BM25+ Enhanced,0.6,0.6,1.0,1.0,1.0,0.9,0.7892789260714373,1.0,1.0,1.0,1.0,0.8248996447822394,1.0,1.0,1.0,0.7666666666666667,0.1499176025390625
TF-IDF CF,0.4,0.4,0.8,0.8,1.0,0.9,0.6648712314377457,1.0,1.0,1.0,1.0,0.6982045647710791,1.0,1.0,1.0,0.6009523809523809,0.0504016876220703
TF-IDF + LSA,0.4,0.4,0.8,0.8,1.0,0.9,0.6648712314377457,1.0,1.0,1.0,1.0,0.6982045647710791,1.0,1.0,1.0,0.6009523809523809,0.0
Hybrid BM25+TF-IDF,0.6,0.6,1.0,1.0,1.0,0.9,0.7761859507142915,1.0,1.0,1.0,1.0,0.8118066694250936,1.0,1.0,1.0,0.75,0.1498222351074218
Popularity-Based,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0,0.1,0.1,1.0,0.0,0.0498294830322265
Random Baseline,0.0,0.0,0.4,0.4,1.0,0.0,0.0,0.6,0.6,1.0,0.0,0.0,0.6,0.6,1.0,0.0,0.0
Struct-Filter TF-IDF,0.4,0.4,0.8,0.8,1.0,0.9,0.6648712314377457,1.0,1.0,1.0,1.0,0.6982045647710791,1.0,1.0,1.0,0.6009523809523809,1.6555309295654297
Struct-Filter BM25,0.4,0.4,1.0,1.0,1.0,0.9,0.6954395572359224,1.0,1.0,1.0,1.0,0.7310602759467246,1.0,1.0,1.0,0.6416666666666666,0.8502721786499023
Base RAG (no LoRA),0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,986.5326404571533
